Config, Result
mirror/rw/5/bestcase Write,80.850
mirror/rw/5/generaluse Read,44.016
mirror/rw/5/generaluse Write,44.250
mirror/rw/5/worstcase Read,38.250
mirror/rw/5/worstcase Write,38.183
mirror/rw/6/bestcase Read,77.466
mirror/rw/6/bestcase Write,78.816
mirror/rw/6/generaluse Read,45.616
mirror/rw/6/generaluse Write,45.833
mirror/rw/6/worstcase Read,37.916
mirror/rw/6/worstcase Write,37.883
mirror/randread/2/bestcase,56.616
mirror/randread/2/generaluse,20.750
mirror/randread/2/worstcase,.415
mirror/randread/3/bestcase,59.216
mirror/randread/3/generaluse,27.133
mirror/randread/3/worstcase,.420
mirror/randread/4/bestcase,58.933
mirror/randread/4/generaluse,34.100
mirror/randread/4/worstcase,.433
mirror/randread/5/bestcase,57.866
mirror/randread/5/generaluse,39.683
mirror/randread/5/worstcase,.438
mirror/randread/6/bestcase,57.350
mirror/randread/6/generaluse,43.716
mirror/randread/6/worstcase,.446
mirror/randwrite/2/bestcase,102.333
mirror/randwrite/2/generaluse,28.233
mirror/randwrite/2/worstcase,1.285
mirror/randwrite/3/bestcase,99.000
mirror/randwrite/3/generaluse,28.950
mirror/randwrite/3/worstcase,1.298
mirror/randwrite/4/bestcase,96.716
mirror/randwrite/4/generaluse,30.100
mirror/randwrite/4/worstcase,1.305
mirror/randwrite/5/bestcase,95.333
mirror/randwrite/5/generaluse,30.516
mirror/randwrite/5/worstcase,1.317
mirror/randwrite/6/bestcase,92.800
mirror/randwrite/6/generaluse,30.316
mirror/randwrite/6/worstcase,1.324
mirror/randrw/2/bestcase Read,35.716
mirror/randrw/2/bestcase Write,37.566
mirror/randrw/2/generaluse Read,8.447
mirror/randrw/2/generaluse Write,8.610
mirror/randrw/2/worstcase Read,.191
mirror/randrw/2/worstcase Write,.198
mirror/randrw/3/bestcase Read,35.766
mirror/randrw/3/bestcase Write,37.633
mirror/randrw/3/generaluse Read,10.466
mirror/randrw/3/generaluse Write,10.733
mirror/randrw/3/worstcase Read,.191
mirror/randrw/3/worstcase Write,.199
mirror/randrw/4/bestcase Read,35.833
mirror/randrw/4/bestcase Write,37.750
mirror/randrw/4/generaluse Read,11.933
mirror/randrw/4/generaluse Write,12.200
mirror/randrw/4/worstcase Read,.196
mirror/randrw/4/worstcase Write,.204
mirror/randrw/5/bestcase Read,35.183
mirror/randrw/5/bestcase Write,37.066
mirror/randrw/5/generaluse Read,13.116
mirror/randrw/5/generaluse Write,13.366
mirror/randrw/5/worstcase Read,.195
mirror/randrw/5/worstcase Write,.203
mirror/randrw/6/bestcase Read,35.033
mirror/randrw/6/bestcase Write,36.933
